__v,_id,active,altNames,createdAt,growthRate24,growthRate48,growthRate72,last24hours,last48hours,metadata.name,metadata.symbol,previousWeek,score,strictNameCheck,thisWeek,week
0,609adad79337756c0f686052,true,[],2021-05-11T19:28:23.016Z,0,0,0,0,0,Cognyte Software Ltd. Ordinary Shares,CGNT,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686053,true,[],2021-05-11T19:28:23.048Z,0,0,0,0,0,Cognex Corporation Common Stock,CGNX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686054,true,[],2021-05-11T19:28:23.084Z,0,0,0,0,0,Calamos Global Total Return Fund Common Stock,CGO,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686055,true,[],2021-05-11T19:28:23.106Z,0,0,0,0,0,Capstone Green Energy Corporation Common Stock,CGRN,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686056,true,[],2021-05-11T19:28:23.803Z,0,0,0,0,0,Comstock Holding Companies Inc. Class A Common Stock,CHCI,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686057,true,[],2021-05-11T19:28:23.855Z,0,0,0,0,0,City Holding Company Common Stock,CHCO,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686058,true,[],2021-05-11T19:28:23.893Z,0,0,0,0,0,Churchill Downs Incorporated Common Stock,CHDN,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f686059,true,[],2021-05-11T19:28:23.913Z,1100,1100,1100,11,11,"The Chefs' Warehouse Inc. Common Stock",CHEF,0,270.82758620689657,false,11,"[11,0,0,0,0,0,0]"
0,609adad79337756c0f68605a,true,[],2021-05-11T19:28:23.940Z,400,400,400,4,4,Check-Cap Ltd. Ordinary Share,CHEK,0,98.48275862068965,false,4,"[4,0,0,0,0,0,0]"
0,609adad79337756c0f68605b,true,[],2021-05-11T19:28:23.967Z,0,0,0,0,0,Check-Cap Ltd. Series C Warrant,CHEKZ,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad79337756c0f68605c,true,[],2021-05-11T19:28:23.998Z,300,300,300,3,3,Calamos Convertible Opportunities and Income Fund Common Stock,CHI,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609adad89337756c0f68605d,true,[],2021-05-11T19:28:24.023Z,400,400,400,4,4,Chesapeake Energy Corporation Common Stock,CHK,0,98.48275862068965,false,4,"[4,0,0,0,0,0,0]"
0,609adad89337756c0f68605e,true,[],2021-05-11T19:28:24.058Z,0,0,0,0,0,Chesapeake Energy Corporation Class C Warrants,CHKEL,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad89337756c0f68605f,true,[],2021-05-11T19:28:24.806Z,0,0,0,0,0,Chesapeake Energy Corporation Class A Warrants,CHKEW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad89337756c0f686060,true,[],2021-05-11T19:28:24.838Z,0,0,0,0,0,Chesapeake Energy Corporation Class B Warrants,CHKEZ,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad89337756c0f686061,true,[],2021-05-11T19:28:24.868Z,0,0,0,0,0,Check Point Software Technologies Ltd. Ordinary Shares,CHKP,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad89337756c0f686062,true,[],2021-05-11T19:28:24.907Z,100,100,100,1,1,Chiasma Inc. Common Stock,CHMA,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609adad89337756c0f686063,true,[],2021-05-11T19:28:24.944Z,0,0,0,0,0,Chemung Financial Corp Common Stock,CHMG,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad89337756c0f686064,true,[],2021-05-11T19:28:24.974Z,0,0,0,0,0,Change Healthcare Inc. Common Stock,CHNG,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad99337756c0f686065,true,[],2021-05-11T19:28:25.019Z,0,0,0,0,0,Change Healthcare Inc. Tangible Equity Units,CHNGU,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad99337756c0f686066,true,[],2021-05-11T19:28:25.056Z,0,0,0,0,0,China Natural Resources Inc. Common Stock,CHNR,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad99337756c0f686067,true,[],2021-05-11T19:28:25.103Z,0,0,0,0,0,CHP Merger Corp. Class A Common Stock,CHPM,0,0,false,0,"[0,0,0,0,0,0,0]"
